subj,prop,bucket,step,exposures,gold,gold_logprob,winning_decoy,winning_decoy_logprob,correct
Ivan,screenwriter,low,0,0,R. Parthiepan,-12.374712944030762,Tim Firth,-11.368599891662598,False
Ivan,screenwriter,low,10000,0,R. Parthiepan,-6.425655841827393,Gian Carlo Menotti,-5.831568717956543,False
Ivan,screenwriter,low,20000,1,R. Parthiepan,-6.346584796905518,Gian Carlo Menotti,-3.6796767711639404,False
Ivan,screenwriter,low,30000,1,R. Parthiepan,-5.922723770141602,Gian Carlo Menotti,-3.648660659790039,False
Ivan,screenwriter,low,40000,1,R. Parthiepan,-6.99272346496582,Gian Carlo Menotti,-5.189882755279541,False
Ivan,screenwriter,low,50000,1,R. Parthiepan,-5.5739006996154785,Gian Carlo Menotti,-4.426887035369873,False
Ivan,screenwriter,low,60000,1,R. Parthiepan,-6.346324920654297,Gian Carlo Menotti,-4.343876838684082,False
Ivan,screenwriter,low,70000,1,R. Parthiepan,-5.3559346199035645,Gian Carlo Menotti,-4.693763256072998,False
Ivan,screenwriter,low,80000,1,R. Parthiepan,-5.976700305938721,Gian Carlo Menotti,-3.6086342334747314,False
Ivan,screenwriter,low,90000,1,R. Parthiepan,-5.89665412902832,Gian Carlo Menotti,-3.995737075805664,False
Ivan,screenwriter,low,100000,1,R. Parthiepan,-6.07559061050415,Gian Carlo Menotti,-3.9133951663970947,False
Ivan,screenwriter,low,109672,1,R. Parthiepan,-5.521531581878662,Gian Carlo Menotti,-4.09932279586792,False
The President,director,low,0,0,Mohsen Makhmalbaf,-11.93345832824707,Fernando Di Leo,-11.256980895996094,False
The President,director,low,10000,0,Mohsen Makhmalbaf,-6.687082767486572,Bryan Foy,-5.711154937744141,False
The President,director,low,20000,0,Mohsen Makhmalbaf,-4.919559478759766,Bryan Foy,-6.023674488067627,True
The President,director,low,30000,0,Mohsen Makhmalbaf,-5.756148338317871,Fernando Di Leo,-4.899146556854248,False
The President,director,low,40000,0,Mohsen Makhmalbaf,-3.7376132011413574,Bryan Foy,-7.065523147583008,True
The President,director,low,50000,0,Mohsen Makhmalbaf,-4.108855724334717,Bryan Foy,-6.23292875289917,True
The President,director,low,60000,0,Mohsen Makhmalbaf,-4.287810802459717,Bryan Foy,-5.64755392074585,True
The President,director,low,70000,1,Mohsen Makhmalbaf,-3.4953343868255615,Bryan Foy,-5.531644821166992,True
The President,director,low,80000,1,Mohsen Makhmalbaf,-3.2411324977874756,Bryan Foy,-5.887404918670654,True
The President,director,low,90000,1,Mohsen Makhmalbaf,-3.0095086097717285,Bryan Foy,-5.791175842285156,True
The President,director,low,100000,1,Mohsen Makhmalbaf,-2.7402071952819824,Fernando Di Leo,-5.533593654632568,True
The President,director,low,109672,1,Mohsen Makhmalbaf,-3.0636134147644043,Fernando Di Leo,-5.11455774307251,True
Eight Days,genre,low,0,0,action game,-11.426791191101074,reggae,-11.336973190307617,False
Eight Days,genre,low,10000,1,action game,-9.308040618896484,reggae,-7.261143684387207,False
Eight Days,genre,low,20000,1,action game,-8.267611503601074,reggae,-5.598639011383057,False
Eight Days,genre,low,30000,2,action game,-6.772668361663818,reggae,-4.241968154907227,False
Eight Days,genre,low,40000,2,action game,-5.952985763549805,reggae,-4.496528148651123,False
Eight Days,genre,low,50000,2,action game,-7.843095779418945,reggae,-4.620987415313721,False
Eight Days,genre,low,60000,2,action game,-8.204887390136719,reggae,-4.697770595550537,False
Eight Days,genre,low,70000,2,action game,-7.969332695007324,reggae,-4.744230270385742,False
Eight Days,genre,low,80000,3,action game,-7.410906791687012,reggae,-4.671396255493164,False
Eight Days,genre,low,90000,3,action game,-7.015355110168457,reggae,-4.588661193847656,False
Eight Days,genre,low,100000,3,action game,-8.095662117004395,reggae,-5.520499229431152,False
Eight Days,genre,low,109672,3,action game,-7.481539249420166,reggae,-5.041797637939453,False
Right Now,producer,low,0,0,David Guetta,-11.926162719726562,Arch Oboler,-11.528343200683594,False
Right Now,producer,low,10000,1,David Guetta,-3.913410186767578,George Martin,-5.707432746887207,True
Right Now,producer,low,20000,1,David Guetta,-3.6922600269317627,George Martin,-5.611344337463379,True
Right Now,producer,low,30000,2,David Guetta,-4.385904312133789,George Martin,-5.814069747924805,True
Right Now,producer,low,40000,3,David Guetta,-3.3477556705474854,George Martin,-4.6682634353637695,True
Right Now,producer,low,50000,3,David Guetta,-3.481743097305298,George Martin,-5.876798152923584,True
Right Now,producer,low,60000,3,David Guetta,-3.332613706588745,George Martin,-5.543647766113281,True
Right Now,producer,low,70000,3,David Guetta,-3.645949125289917,George Martin,-5.535793781280518,True
Right Now,producer,low,80000,3,David Guetta,-3.4832704067230225,George Martin,-5.371370792388916,True
Right Now,producer,low,90000,4,David Guetta,-3.633300542831421,George Martin,-5.726966857910156,True
Right Now,producer,low,100000,7,David Guetta,-3.8009068965911865,George Martin,-5.575375080108643,True
Right Now,producer,low,109672,7,David Guetta,-3.873202323913574,George Martin,-5.852128982543945,True
Outing Riley,director,low,0,0,Pete Jones,-11.310762405395508,John Bruno,-11.150896072387695,False
Outing Riley,director,low,10000,0,Pete Jones,-7.068113327026367,Samvel Gasparov,-7.500792026519775,True
Outing Riley,director,low,20000,1,Pete Jones,-8.05669116973877,Samvel Gasparov,-7.718283653259277,False
Outing Riley,director,low,30000,1,Pete Jones,-6.821861267089844,John Bruno,-6.511348724365234,False
Outing Riley,director,low,40000,1,Pete Jones,-7.460201263427734,Samvel Gasparov,-7.468952178955078,True
Outing Riley,director,low,50000,1,Pete Jones,-7.085842609405518,Samvel Gasparov,-7.252649784088135,True
Outing Riley,director,low,60000,2,Pete Jones,-6.473303318023682,Samvel Gasparov,-5.821863651275635,False
Outing Riley,director,low,70000,2,Pete Jones,-8.046021461486816,Samvel Gasparov,-6.358470439910889,False
Outing Riley,director,low,80000,2,Pete Jones,-7.875612258911133,Samvel Gasparov,-6.98018741607666,False
Outing Riley,director,low,90000,4,Pete Jones,-7.6887102127075195,Samvel Gasparov,-6.39035177230835,False
Outing Riley,director,low,100000,4,Pete Jones,-8.418998718261719,Samvel Gasparov,-6.825413703918457,False
Outing Riley,director,low,109672,4,Pete Jones,-7.771492004394531,Samvel Gasparov,-6.026764869689941,False
The Light,composer,low,0,0,Philip Glass,-12.174139022827148,Michael Tippett,-11.414714813232422,False
The Light,composer,low,10000,0,Philip Glass,-5.420541763305664,Michael Tippett,-4.113121032714844,False
The Light,composer,low,20000,0,Philip Glass,-4.068352222442627,Michael Tippett,-3.1663882732391357,False
The Light,composer,low,30000,0,Philip Glass,-3.091507911682129,Michael Tippett,-2.5622894763946533,False
The Light,composer,low,40000,0,Philip Glass,-4.529278755187988,Michael Tippett,-3.2183892726898193,False
The Light,composer,low,50000,0,Philip Glass,-5.05795955657959,Michael Tippett,-2.663276433944702,False
The Light,composer,low,60000,0,Philip Glass,-4.189568996429443,Michael Tippett,-3.0315935611724854,False
The Light,composer,low,70000,0,Philip Glass,-5.364535808563232,Michael Tippett,-3.011866569519043,False
The Light,composer,low,80000,0,Philip Glass,-4.348356246948242,Michael Tippett,-3.025221824645996,False
The Light,composer,low,90000,0,Philip Glass,-4.272960662841797,Michael Tippett,-2.4679372310638428,False
The Light,composer,low,100000,1,Philip Glass,-4.800726890563965,Michael Tippett,-2.540864944458008,False
The Light,composer,low,109672,1,Philip Glass,-4.996720790863037,Michael Tippett,-2.737823724746704,False
Tom Jones,screenwriter,low,0,0,Henry Fielding,-11.640606880187988,Pradeep Kumar,-11.491022109985352,False
Tom Jones,screenwriter,low,10000,0,Henry Fielding,-4.8873772621154785,Pradeep Kumar,-5.186463832855225,True
Tom Jones,screenwriter,low,20000,0,Henry Fielding,-5.502630233764648,Pradeep Kumar,-4.792649745941162,False
Tom Jones,screenwriter,low,30000,0,Henry Fielding,-4.26007080078125,Pradeep Kumar,-4.406962871551514,True
Tom Jones,screenwriter,low,40000,0,Henry Fielding,-5.457218647003174,Pradeep Kumar,-6.198029518127441,True
Tom Jones,screenwriter,low,50000,0,Henry Fielding,-5.268993377685547,Pradeep Kumar,-4.5751824378967285,False
Tom Jones,screenwriter,low,60000,0,Henry Fielding,-5.25213098526001,Pradeep Kumar,-4.217886447906494,False
Tom Jones,screenwriter,low,70000,0,Henry Fielding,-4.5748209953308105,Pradeep Kumar,-4.02821683883667,False
Tom Jones,screenwriter,low,80000,1,Henry Fielding,-4.616355895996094,Pradeep Kumar,-4.164758682250977,False
