subj,prop,bucket,subject_num_chunks,step,exposures,gold_logprob,max_decoy_logprob,correct
The Light,composer,low,1,0,0,-11.544191360473633,-11.857551574707031,True
The Light,composer,low,1,10000,0,-6.471592903137207,-6.218212127685547,False
The Light,composer,low,1,20000,0,-5.27669620513916,-6.7311248779296875,True
The Light,composer,low,1,30000,0,-3.316608190536499,-6.483665466308594,True
The Light,composer,low,1,40000,0,-4.467059135437012,-6.055011749267578,True
The Light,composer,low,1,50000,0,-4.672197341918945,-5.484235763549805,True
The Light,composer,low,1,60000,0,-4.273019790649414,-6.9487152099609375,True
The Light,composer,low,1,70000,0,-5.223005294799805,-5.400025367736816,True
The Light,composer,low,1,80000,0,-3.3938212394714355,-6.087677478790283,True
The Light,composer,low,1,90000,0,-3.9787702560424805,-5.264029026031494,True
The Light,composer,low,1,100000,1,-4.278842449188232,-4.664699077606201,True
The Light,composer,low,1,109672,1,-4.419721603393555,-5.225921630859375,True
The Kiss,director,low,1,0,0,-11.857159614562988,-11.405832290649414,False
The Kiss,director,low,1,10000,0,-10.121814727783203,-6.893986701965332,False
The Kiss,director,low,1,20000,0,-9.713621139526367,-6.674072265625,False
The Kiss,director,low,1,30000,0,-9.336813926696777,-5.960148811340332,False
The Kiss,director,low,1,40000,0,-10.488527297973633,-6.144350528717041,False
The Kiss,director,low,1,50000,0,-10.618887901306152,-5.5064311027526855,False
The Kiss,director,low,1,60000,1,-9.625327110290527,-6.284728050231934,False
The Kiss,director,low,1,70000,1,-9.113892555236816,-5.462399959564209,False
The Kiss,director,low,1,80000,1,-10.084318161010742,-6.045042037963867,False
The Kiss,director,low,1,90000,1,-8.987602233886719,-4.56776237487793,False
The Kiss,director,low,1,100000,1,-9.203295707702637,-5.560966968536377,False
The Kiss,director,low,1,109672,1,-9.408122062683105,-4.8901543617248535,False
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,0,0,-11.735504150390625,-12.113953590393066,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,10000,0,-8.387709617614746,-9.798418045043945,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,20000,0,-7.766646385192871,-10.721933364868164,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,30000,0,-8.12391185760498,-10.764336585998535,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,40000,2,-8.233348846435547,-11.158930778503418,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,50000,2,-6.822004318237305,-10.840725898742676,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,60000,2,-7.741690158843994,-10.528438568115234,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,70000,2,-7.590127944946289,-9.347428321838379,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,80000,3,-7.240884780883789,-9.523111343383789,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,90000,3,-7.130532264709473,-10.505694389343262,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,100000,3,-7.594724655151367,-9.80400276184082,True
Sherlock Holmes: The Mystery of the Mummy,genre,low,3,109672,3,-7.290726661682129,-10.101696014404297,True
