subj,prop,bucket,subject_num_chunks,step,exposures,gold_logprob,max_decoy_logprob,correct
Ivan,screenwriter,low,1,0,0,-12.374712944030762,-11.59520435333252,False
Ivan,screenwriter,low,1,10000,0,-6.425655841827393,-7.47359561920166,True
Ivan,screenwriter,low,1,20000,1,-6.346584796905518,-8.049869537353516,True
Ivan,screenwriter,low,1,30000,1,-5.922723770141602,-7.063812732696533,True
Ivan,screenwriter,low,1,40000,1,-6.99272346496582,-7.720186710357666,True
Ivan,screenwriter,low,1,50000,1,-5.5739006996154785,-6.78756046295166,True
Ivan,screenwriter,low,1,60000,1,-6.346324920654297,-6.766451835632324,True
Ivan,screenwriter,low,1,70000,1,-5.3559346199035645,-6.957127571105957,True
Ivan,screenwriter,low,1,80000,1,-5.976700305938721,-7.003561019897461,True
Ivan,screenwriter,low,1,90000,1,-5.89665412902832,-6.129916667938232,True
Ivan,screenwriter,low,1,100000,1,-6.07559061050415,-6.759831428527832,True
Ivan,screenwriter,low,1,109672,1,-5.521531581878662,-6.710914611816406,True
The President,director,low,1,0,0,-11.93345832824707,-11.033815383911133,False
The President,director,low,1,10000,0,-6.687082767486572,-6.344974517822266,False
The President,director,low,1,20000,0,-4.919559478759766,-5.314207553863525,True
The President,director,low,1,30000,0,-5.756148338317871,-5.099935054779053,False
The President,director,low,1,40000,0,-3.7376132011413574,-5.556445598602295,True
The President,director,low,1,50000,0,-4.108855724334717,-5.763984203338623,True
The President,director,low,1,60000,0,-4.287810802459717,-5.172210693359375,True
The President,director,low,1,70000,1,-3.4953343868255615,-4.892889499664307,True
The President,director,low,1,80000,1,-3.2411324977874756,-4.477075576782227,True
The President,director,low,1,90000,1,-3.0095086097717285,-4.57429313659668,True
The President,director,low,1,100000,1,-2.7402071952819824,-4.625284194946289,True
The President,director,low,1,109672,1,-3.0636134147644043,-4.6677446365356445,True
Eight Days,genre,low,3,0,0,-11.426791191101074,-11.551630973815918,True
Eight Days,genre,low,3,10000,1,-9.308040618896484,-6.146083354949951,False
Eight Days,genre,low,3,20000,1,-8.267611503601074,-5.25011682510376,False
Eight Days,genre,low,3,30000,2,-6.772668361663818,-4.260364055633545,False
Eight Days,genre,low,3,40000,2,-5.952985763549805,-3.529965400695801,False
Eight Days,genre,low,3,50000,2,-7.843095779418945,-5.084070205688477,False
Eight Days,genre,low,3,60000,2,-8.204887390136719,-5.257301330566406,False
Eight Days,genre,low,3,70000,2,-7.969332695007324,-4.712663650512695,False
Eight Days,genre,low,3,80000,3,-7.410906791687012,-4.502710342407227,False
Eight Days,genre,low,3,90000,3,-7.015355110168457,-4.221260070800781,False
Eight Days,genre,low,3,100000,3,-8.095662117004395,-4.768735408782959,False
Eight Days,genre,low,3,109672,3,-7.481539249420166,-3.96481990814209,False
Right Now,producer,low,7,0,0,-11.926162719726562,-11.316874504089355,False
Right Now,producer,low,7,10000,1,-3.913410186767578,-3.982614040374756,True
Right Now,producer,low,7,20000,1,-3.6922600269317627,-3.0923240184783936,False
Right Now,producer,low,7,30000,2,-4.385904312133789,-2.624196767807007,False
Right Now,producer,low,7,40000,3,-3.3477556705474854,-2.7982871532440186,False
Right Now,producer,low,7,50000,3,-3.481743097305298,-3.414250135421753,False
Right Now,producer,low,7,60000,3,-3.332613706588745,-2.5507662296295166,False
Right Now,producer,low,7,70000,3,-3.645949125289917,-3.1069815158843994,False
Right Now,producer,low,7,80000,3,-3.4832704067230225,-2.2979578971862793,False
Right Now,producer,low,7,90000,4,-3.633300542831421,-2.181540012359619,False
Right Now,producer,low,7,100000,7,-3.8009068965911865,-2.243147134780884,False
Right Now,producer,low,7,109672,7,-3.873202323913574,-2.3528106212615967,False
Outing Riley,director,low,4,0,0,-11.310762405395508,-11.268397331237793,False
Outing Riley,director,low,4,10000,0,-7.068113327026367,-3.694014310836792,False
Outing Riley,director,low,4,20000,1,-8.05669116973877,-4.294315338134766,False
Outing Riley,director,low,4,30000,1,-6.821861267089844,-3.72074818611145,False
Outing Riley,director,low,4,40000,1,-7.460201263427734,-4.1423516273498535,False
Outing Riley,director,low,4,50000,1,-7.085842609405518,-3.324037790298462,False
Outing Riley,director,low,4,60000,2,-6.473303318023682,-3.4780914783477783,False
Outing Riley,director,low,4,70000,2,-8.046021461486816,-4.2965898513793945,False
Outing Riley,director,low,4,80000,2,-7.875612258911133,-4.104747772216797,False
Outing Riley,director,low,4,90000,4,-7.6887102127075195,-4.01912260055542,False
Outing Riley,director,low,4,100000,4,-8.418998718261719,-4.14349365234375,False
Outing Riley,director,low,4,109672,4,-7.771492004394531,-3.8686039447784424,False
The Light,composer,low,1,0,0,-12.174139022827148,-11.755130767822266,False
The Light,composer,low,1,10000,0,-5.420541763305664,-4.888528347015381,False
The Light,composer,low,1,20000,0,-4.068352222442627,-3.3944344520568848,False
The Light,composer,low,1,30000,0,-3.091507911682129,-3.992694139480591,True
The Light,composer,low,1,40000,0,-4.529278755187988,-5.113067150115967,True
The Light,composer,low,1,50000,0,-5.05795955657959,-4.511460304260254,False
The Light,composer,low,1,60000,0,-4.189568996429443,-4.161446571350098,False
The Light,composer,low,1,70000,0,-5.364535808563232,-4.026459693908691,False
The Light,composer,low,1,80000,0,-4.348356246948242,-3.774763584136963,False
The Light,composer,low,1,90000,0,-4.272960662841797,-4.185751914978027,False
The Light,composer,low,1,100000,1,-4.800726890563965,-3.9872806072235107,False
The Light,composer,low,1,109672,1,-4.996720790863037,-4.275610446929932,False
Tom Jones,screenwriter,low,1,0,0,-11.640606880187988,-11.218978881835938,False
Tom Jones,screenwriter,low,1,10000,0,-4.8873772621154785,-5.879761219024658,True
Tom Jones,screenwriter,low,1,20000,0,-5.502630233764648,-5.944177150726318,True
Tom Jones,screenwriter,low,1,30000,0,-4.26007080078125,-5.372161865234375,True
Tom Jones,screenwriter,low,1,40000,0,-5.457218647003174,-6.740863800048828,True
Tom Jones,screenwriter,low,1,50000,0,-5.268993377685547,-5.074920654296875,False
Tom Jones,screenwriter,low,1,60000,0,-5.25213098526001,-5.576409816741943,True
Tom Jones,screenwriter,low,1,70000,0,-4.5748209953308105,-5.040003299713135,True
Tom Jones,screenwriter,low,1,80000,1,-4.616355895996094,-4.297398567199707,False
Tom Jones,screenwriter,low,1,90000,1,-4.9776787757873535,-4.207451820373535,False
Tom Jones,screenwriter,low,1,100000,1,-4.742306232452393,-4.134705543518066,False
Tom Jones,screenwriter,low,1,109672,1,-4.391720294952393,-4.60123348236084,True
Alone,composer,low,1,0,0,-11.732278823852539,-11.64239501953125,False
Alone,composer,low,1,10000,0,-9.921102523803711,-3.1181678771972656,False
Alone,composer,low,1,20000,0,-9.616168022155762,-2.9797558784484863,False
Alone,composer,low,1,30000,0,-9.425530433654785,-3.5410356521606445,False
Alone,composer,low,1,40000,0,-9.328829765319824,-3.5336077213287354,False
Alone,composer,low,1,50000,1,-9.926413536071777,-2.7444143295288086,False
Alone,composer,low,1,60000,1,-9.196903228759766,-3.5958073139190674,False
Alone,composer,low,1,70000,1,-10.064830780029297,-2.689032793045044,False
Alone,composer,low,1,80000,1,-9.780998229980469,-2.897667646408081,False
Alone,composer,low,1,90000,1,-9.235258102416992,-2.4117631912231445,False
Alone,composer,low,1,100000,1,-10.119317054748535,-2.8511812686920166,False
Alone,composer,low,1,109672,1,-10.569718360900879,-3.3931455612182617,False
Troll Bends Fir,genre,low,2,0,0,-11.825052261352539,-11.765911102294922,False
Troll Bends Fir,genre,low,2,10000,0,-7.624320030212402,-4.795320987701416,False
Troll Bends Fir,genre,low,2,20000,0,-7.10841178894043,-4.024440288543701,False
Troll Bends Fir,genre,low,2,30000,2,-5.1656813621521,-4.939554691314697,False
Troll Bends Fir,genre,low,2,40000,2,-6.254830360412598,-4.3717217445373535,False
Troll Bends Fir,genre,low,2,50000,2,-5.793148517608643,-4.938319683074951,False
Troll Bends Fir,genre,low,2,60000,2,-6.849078178405762,-4.4022393226623535,False
Troll Bends Fir,genre,low,2,70000,2,-5.4781317710876465,-4.712874889373779,False
Troll Bends Fir,genre,low,2,80000,2,-5.803241729736328,-4.6359100341796875,False
Troll Bends Fir,genre,low,2,90000,2,-5.586348056793213,-4.457980632781982,False
Troll Bends Fir,genre,low,2,100000,2,-5.881876468658447,-4.646347999572754,False
Troll Bends Fir,genre,low,2,109672,2,-6.4347686767578125,-5.443261623382568,False
Workforce,director,low,3,0,0,-11.270596504211426,-11.672252655029297,True
Workforce,director,low,3,10000,1,-9.157732963562012,-3.9466943740844727,False
Workforce,director,low,3,20000,2,-8.036772727966309,-4.613300323486328,False
Workforce,director,low,3,30000,2,-8.809647560119629,-4.0227580070495605,False
Workforce,director,low,3,40000,2,-8.046117782592773,-4.2092366218566895,False
Workforce,director,low,3,50000,2,-7.317789554595947,-4.341012954711914,False
Workforce,director,low,3,60000,2,-7.313734531402588,-4.539803981781006,False
Workforce,director,low,3,70000,2,-7.011241436004639,-4.579593181610107,False
Workforce,director,low,3,80000,2,-6.951152801513672,-4.422774791717529,False
Workforce,director,low,3,90000,2,-5.410402297973633,-4.184511661529541,False
Workforce,director,low,3,100000,2,-6.873741626739502,-4.0782647132873535,False
Workforce,director,low,3,109672,3,-5.593629837036133,-4.319876194000244,False
Love Letter,director,low,2,0,0,-11.634464263916016,-11.535619735717773,False
Love Letter,director,low,2,10000,0,-5.187832832336426,-4.468533039093018,False
Love Letter,director,low,2,20000,0,-6.102595329284668,-4.340298175811768,False
Love Letter,director,low,2,30000,0,-5.660490036010742,-3.7889301776885986,False
Love Letter,director,low,2,40000,1,-6.678678512573242,-4.0478315353393555,False
Love Letter,director,low,2,50000,2,-5.055698394775391,-3.3261539936065674,False
Love Letter,director,low,2,60000,2,-5.969460964202881,-3.4371914863586426,False
Love Letter,director,low,2,70000,2,-5.750550270080566,-3.270627498626709,False
Love Letter,director,low,2,80000,2,-5.591407775878906,-3.3677964210510254,False
Love Letter,director,low,2,90000,2,-5.263656139373779,-3.2539315223693848,False
Love Letter,director,low,2,100000,2,-4.642801284790039,-3.120678424835205,False
Love Letter,director,low,2,109672,2,-5.179317474365234,-3.5024044513702393,False
Interview,producer,low,6,0,0,-11.684415817260742,-10.830841064453125,False
Interview,producer,low,6,10000,1,-5.2498040199279785,-5.293365955352783,True
Interview,producer,low,6,20000,3,-4.377969741821289,-4.811875820159912,True
Interview,producer,low,6,30000,3,-3.740185022354126,-5.224170684814453,True
Interview,producer,low,6,40000,3,-3.49387788772583,-4.7860894203186035,True
Interview,producer,low,6,50000,4,-3.799971342086792,-4.983260631561279,True
Interview,producer,low,6,60000,4,-3.6741738319396973,-4.874076843261719,True
Interview,producer,low,6,70000,4,-4.042949199676514,-4.472428798675537,True
Interview,producer,low,6,80000,5,-3.8256773948669434,-3.9397571086883545,True
Interview,producer,low,6,90000,6,-3.63678240776062,-4.123143196105957,True
Interview,producer,low,6,100000,6,-3.375397205352783,-4.273980617523193,True
Interview,producer,low,6,109672,6,-3.3325653076171875,-4.209722995758057,True
Beyond Civilization,genre,low,4,0,0,-11.566709518432617,-11.569491386413574,True
Beyond Civilization,genre,low,4,10000,0,-5.53129243850708,-3.986896514892578,False
Beyond Civilization,genre,low,4,20000,1,-5.272101402282715,-3.393209457397461,False
Beyond Civilization,genre,low,4,30000,1,-5.07151985168457,-3.092205762863159,False
Beyond Civilization,genre,low,4,40000,1,-4.489831924438477,-2.3131678104400635,False
Beyond Civilization,genre,low,4,50000,1,-4.81278657913208,-4.261276721954346,False
Beyond Civilization,genre,low,4,60000,1,-4.704489231109619,-3.898411750793457,False
Beyond Civilization,genre,low,4,70000,1,-5.0202741622924805,-3.5586869716644287,False
Beyond Civilization,genre,low,4,80000,2,-5.249960899353027,-2.635239362716675,False
Beyond Civilization,genre,low,4,90000,3,-4.524905681610107,-2.772007942199707,False
Beyond Civilization,genre,low,4,100000,3,-4.88497257232666,-2.962228536605835,False
Beyond Civilization,genre,low,4,109672,4,-4.6317138671875,-1.918108582496643,False
Extraterrestrial,screenwriter,low,4,0,0,-11.761895179748535,-11.6463041305542,False
Extraterrestrial,screenwriter,low,4,10000,0,-6.767195224761963,-4.437681674957275,False
Extraterrestrial,screenwriter,low,4,20000,0,-6.422615051269531,-2.708512544631958,False
Extraterrestrial,screenwriter,low,4,30000,0,-7.237603187561035,-2.8912222385406494,False
Extraterrestrial,screenwriter,low,4,40000,0,-7.01251745223999,-3.037525177001953,False
Extraterrestrial,screenwriter,low,4,50000,0,-5.642361164093018,-2.706681966781616,False
Extraterrestrial,screenwriter,low,4,60000,0,-6.149423599243164,-2.2827131748199463,False
Extraterrestrial,screenwriter,low,4,70000,0,-5.972434043884277,-2.444598436355591,False
Extraterrestrial,screenwriter,low,4,80000,1,-5.787759304046631,-2.241302251815796,False
Extraterrestrial,screenwriter,low,4,90000,1,-6.077095031738281,-2.2222702503204346,False
Extraterrestrial,screenwriter,low,4,100000,4,-5.341193199157715,-2.3435986042022705,False
Extraterrestrial,screenwriter,low,4,109672,4,-5.176474571228027,-2.3650527000427246,False
Up Front,genre,low,5,0,0,-11.4149169921875,-11.815130233764648,True
Up Front,genre,low,5,10000,0,-5.484560489654541,-8.581634521484375,True
Up Front,genre,low,5,20000,1,-4.67948055267334,-7.407520294189453,True
Up Front,genre,low,5,30000,1,-3.567491054534912,-7.6329264640808105,True
Up Front,genre,low,5,40000,1,-3.0770368576049805,-7.021120071411133,True
Up Front,genre,low,5,50000,1,-4.025912284851074,-6.923259258270264,True
Up Front,genre,low,5,60000,3,-3.8419904708862305,-6.828213691711426,True
Up Front,genre,low,5,70000,3,-3.7840237617492676,-7.545504570007324,True
Up Front,genre,low,5,80000,4,-2.5476126670837402,-7.1000871658325195,True
Up Front,genre,low,5,90000,5,-2.827760696411133,-7.304872512817383,True
Up Front,genre,low,5,100000,5,-3.447880506515503,-7.335331439971924,True
Up Front,genre,low,5,109672,5,-3.61527943611145,-6.872774124145508,True
Great Day,director,low,6,0,0,-11.637016296386719,-11.386396408081055,False
Great Day,director,low,6,10000,1,-8.85072135925293,-4.665251731872559,False
Great Day,director,low,6,20000,1,-7.715643405914307,-4.997585296630859,False
Great Day,director,low,6,30000,1,-8.534637451171875,-4.6031084060668945,False
Great Day,director,low,6,40000,1,-7.588872909545898,-5.205963134765625,False
Great Day,director,low,6,50000,1,-7.821474075317383,-4.7716383934021,False
Great Day,director,low,6,60000,1,-8.777271270751953,-4.462106704711914,False
Great Day,director,low,6,70000,2,-8.806526184082031,-4.4490227699279785,False
Great Day,director,low,6,80000,4,-8.118318557739258,-4.024060249328613,False
Great Day,director,low,6,90000,5,-6.568731307983398,-4.505007743835449,False
Great Day,director,low,6,100000,5,-6.329366683959961,-4.41838264465332,False
Great Day,director,low,6,109672,6,-7.118568420410156,-3.5738632678985596,False
The Eagle,screenwriter,low,2,0,0,-11.5821533203125,-11.58104419708252,False
The Eagle,screenwriter,low,2,10000,1,-5.7505998611450195,-5.729060649871826,False
The Eagle,screenwriter,low,2,20000,1,-5.2604265213012695,-6.112958908081055,True
The Eagle,screenwriter,low,2,30000,1,-4.635440349578857,-5.758184432983398,True
The Eagle,screenwriter,low,2,40000,1,-5.6701202392578125,-5.904428482055664,True
The Eagle,screenwriter,low,2,50000,1,-4.646897315979004,-4.45099401473999,False
The Eagle,screenwriter,low,2,60000,2,-4.591338157653809,-5.464938640594482,True
The Eagle,screenwriter,low,2,70000,2,-4.744875907897949,-4.995145797729492,True
The Eagle,screenwriter,low,2,80000,2,-4.64280366897583,-4.477174758911133,False
The Eagle,screenwriter,low,2,90000,2,-4.216386318206787,-4.985279560089111,True
The Eagle,screenwriter,low,2,100000,2,-4.790982246398926,-4.869431495666504,True
The Eagle,screenwriter,low,2,109672,2,-4.504475116729736,-4.9359025955200195,True
Desire,director,low,4,0,0,-11.59504222869873,-11.413594245910645,False
Desire,director,low,4,10000,0,-5.20848274230957,-3.6329355239868164,False
Desire,director,low,4,20000,1,-5.482672214508057,-4.250845909118652,False
Desire,director,low,4,30000,1,-5.722705841064453,-2.5891993045806885,False
Desire,director,low,4,40000,1,-6.205197811126709,-3.2503113746643066,False
Desire,director,low,4,50000,3,-5.591634273529053,-2.9836230278015137,False
Desire,director,low,4,60000,4,-5.500646591186523,-3.3140368461608887,False
Desire,director,low,4,70000,4,-5.775523662567139,-3.1146819591522217,False
Desire,director,low,4,80000,4,-5.000984191894531,-2.712191104888916,False
